productID,name,rating,category,brand,type,price,MainImage,new_description
1004858,Smartphone Samsung 1004858,4.0,electronics,samsung,smartphone,168.75,https://images.samsung.com/is/image/samsung/assets/uk/2407/pcd/smp/New-PCD_Galaxy-Z_Curation-KV_720x1080_mo.jpg?$720_1080_JPG$,"""""""{ \""""@type\"""": \""""Product\"""""
1004872,Smartphone Samsung 1004872,4.0,electronics,samsung,smartphone,140.59,https://i5.walmartimages.com/seo/Samsung-Galaxy-A15-A155M-128GB-Dual-SIM-GSM-Unlocked-Android-Smartphone-Latin-America-Version-Blue-Black_31c44be2-1297-4995-9dd7-76e912612c7c.36c0ac92967f5b3f00dcb354e460b504.jpeg,"""""""{ \""""@type\"""": \""""Product\"""""
2702053,Refrigerators Lg 2702053,5.0,appliances,lg,refrigerators,858.49,https://images.thdstatic.com/productImages/a1f5fd51-4979-4121-9d2d-34095e6a8d75/svn/printproof-black-stainless-steel-lg-side-by-side-refrigerators-lrsos2706d-64_1000.jpg,"""""""{ \""""@type\"""": \""""Product\"""""
1802037,Tv Lg 1802037,1.7,electronics,lg,tv,589.27,https://images.unsplash.com/photo-1647804860011-3d88926953e2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2OTA4MDB8MHwxfHJhbmRvbXx8fHx8fHx8fDE3MzgzNDA4NTF8&ixlib=rb-4.0.3&q=80&w=1080,"""""""{ \""""@type\"""": \""""Product\"""""
4804056,Headphone Apple 4804056,2.0,electronics,apple,headphone,617.79,"https://m.media-amazon.com/images/I/41wYbyr3LLL._AC_UF894,1000_QL80_.jpg","""""""{ \""""@context\"""": \""""https://schema.org\"""""
1004250,Smartphone Apple 1004250,4.0,electronics,apple,smartphone,224.55,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-og-image-202409_GEO_EMEA?wid=1200&hei=630&fmt=jpeg&qlt=95&.v=1727113715254,"""""""{ \""""@type\"""": \""""Product\"""""
3700245,Vacuum Philips 3700245,1.9,appliances,philips,vacuum,625.19,https://images.unsplash.com/photo-1580287192846-ebb89d7e348e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2OTA4MDB8MHwxfHJhbmRvbXx8fHx8fHx8fDE3MzgzOTEyMDN8&ixlib=rb-4.0.3&q=80&w=1080,"""""""{ \""""@context\"""": \""""https://schema.org\"""""
1307076,Notebook Asus 1307076,3.8,computers,asus,notebook,75.49,https://dlcdnimgs.asus.com/websites/global/products/wlkrxb99BnPoC0Yz/img/00/00.png,"""""""{ \""""@type\"""": \""""Product\"""""
5100721,Clocks Huawei 5100721,4.75,electronics,huawei,clocks,783.66,https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/plp-x/wearable/autumn-2024-wearable-launch/kv/watch-gt5-pro-kv.jpg,"""""""{ \""""@context\"""": \""""https://schema.org\"""""
100000165,Shoes Respect 100000165,2.1,apparel,respect,shoes,830.89,https://us.blochworld.com/cdn/shop/products/S0361_BLK.jpg?v=1583764209,"""""""{ \""""@context\"""": \""""https://schema.org\"""""
1305977,Notebook Apple 1305977,3.8,computers,apple,notebook,666.69,https://www.apple.com/newsroom/images/product/mac/standard/Apple_MacBook-Pro_14-16-inch_10182021.jpg.og.jpg?202501131621,"""""""{ \""""@type\"""": \""""Product\"""""
1003306,Smartphone Apple 1003306,4.4,electronics,apple,smartphone,807.65,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-og-image-202409_GEO_EMEA?wid=1200&hei=630&fmt=jpeg&qlt=95&.v=1727113715254,"""""""{ \""""@type\"""": \""""Product\"""""
10900305,Mixer Elenberg 10900305,1.8,appliances,elenberg,mixer,805.19,https://i.ytimg.com/vi/lyLhaIPKGUQ/maxresdefault.jpg,"""""""{ \""""@context\"""": \""""http://schema.org\"""""
6301592,Kettle Scarlett 6301592,4.8,appliances,scarlett,kettle,362.69,https://sc04.alicdn.com/kf/H352b7323a7b44aa38bed6e3204456e33a/231371219/H352b7323a7b44aa38bed6e3204456e33a.jpg,"""""""{ \""""@type\"""": \""""Product\"""""
5700362,Player Incar 5700362,1.8,auto,incar,player,738.15,https://npr.brightspotcdn.com/dims4/default/97ea007/2147483647/strip/true/crop/3240x2160+0+0/resize/880x587!/quality/90/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F40%2Fff%2Fe0e1a92145ab91a096fb8aa10abf%2Fap24188634264779.jpg,"""""""{ \""""@type\"""": \""""Product\"""""
