productID,name,rating,category,brand,type,price,MainImage,description
1004858,Smartphone Samsung 1004858,4.0,electronics,samsung,smartphone,168.75,https://images.samsung.com/is/image/samsung/assets/uk/2407/pcd/smp/New-PCD_Galaxy-Z_Curation-KV_720x1080_mo.jpg?$720_1080_JPG$,"{""description"":""\""{\\\""Product Name\\\"": \\\""Smartphone Samsung 1004858\\\"", \\\""Brand Name\\\"": \\\""Samsung\\\"", \\\""Model Number\\\"": \\\""1004858\\\"", \\\""Screen Size\\\"": \\\""6.7 inches\\\"", \\\""Resolution\\\"": \\\""1440 x 3200 pixels\\\"", \\\""Operating System\\\"": \\\""Android 11\\\"", \\\""RAM\\\"": \\\""8GB\\\"", \\\""Storage\\\"": \\\""128GB\\\"", \\\""Rear Camera\\\"": \\\""Quad-camera setup with 50MP primary sensor, 16MP ultra-wide-angle lens, 5MP macro lens, and 2MP depth sensor\\\"", \\\""Front Camera\\\"": \\\""32MP\\\"", \\\""Battery Capacity\\\"": \\\""4500mAh\\\"", \\\""Charging Method\\\"": \\\""Fast charging\\\"", \\\""Colors\\\"": [\\\""Golden Black\\\"", \\\""Cosmic Gray\\\""]}\\n\\n\\n\""""}"
1004872,Smartphone Samsung 1004872,4.0,electronics,samsung,smartphone,140.59,https://i5.walmartimages.com/seo/Samsung-Galaxy-A15-A155M-128GB-Dual-SIM-GSM-Unlocked-Android-Smartphone-Latin-America-Version-Blue-Black_31c44be2-1297-4995-9dd7-76e912612c7c.36c0ac92967f5b3f00dcb354e460b504.jpeg,"{""description"":""\""{ \\\""@type\\\"": \\\""Product\\\"", \\\""name\\\"": \\\""Smartphone Samsung 1004872\\\"", \\\""image\\\"": \\\""https://example.com/smartphone-samsung-1004872.jpg\\\"", \\\""description\\\"": \\\""Get ready to revolutionize your mobile experience with the Smartphone Samsung 1004872. With a powerful quad-core processor and 3GB of RAM, this device can handle even the most demanding tasks with ease. The large 5.5-inch HD display makes it easy to enjoy your favorite movies, TV shows, and games on the go. Plus, with 32GB of internal storage and a microSD card slot, you'll have plenty of space to store all your apps, photos, and music. Whether you're making calls, sending messages, or browsing the web, this smartphone is sure to impress. }  With its sleek and durable design, the Smartphone Samsung 1004872 is a must-have for anyone looking for a high-performance mobile device. Its advanced camera system includes a 16MP rear camera and an 8MP front camera, allowing you to capture stunning photos and selfies with ease. And with Android 10 as the operating system, you'll have access to a wide range of features and apps to enhance your mobile experience. So why wait? Get your hands on the Smartphone Samsung 1004872 today and start enjoying the best of mobile technology!\\\"" } \""""}"
2702053,Refrigerators Lg 2702053,5.0,appliances,lg,refrigerators,858.49,https://images.thdstatic.com/productImages/a1f5fd51-4979-4121-9d2d-34095e6a8d75/svn/printproof-black-stainless-steel-lg-side-by-side-refrigerators-lrsos2706d-64_1000.jpg,"{""description"":""\""{\\n\\\""name\\\"": \\\""Refrigerators LG 2702053\\\"",\\n\\\""type\\\"": \\\""refrigerator\\\"",\\n\\\""capacity\\\"": \\\""Large capacity for a family of 4-6 people\\\"",\\n\\\""features\\\"": [\\n\\\""Inverter compressor for efficient energy consumption\\\"",\\n\\\""Smart technology for easy control and monitoring\\\"",\\n\\\""Multi-air flow system for improved cooling efficiency\\\"",\\n\\\""Adjustable glass shelves for customizable storage\\\"",\\n\\\""Adaptive iQ technology for personalized temperature control\\\"",\\n\\\""Titanium dioxide antimicrobial coating for freshness preservation\\\"",\\n\\\""Elegant and modern design for seamless integration into any home\\\""\\n]\\n}\""""}"
1802037,Tv Lg 1802037,1.7,electronics,lg,tv,589.27,https://images.unsplash.com/photo-1647804860011-3d88926953e2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2OTA4MDB8MHwxfHJhbmRvbXx8fHx8fHx8fDE3MzgzNDA4NTF8&ixlib=rb-4.0.3&q=80&w=1080,"{""description"":""\""{ \\\""@type\\\"": \\\""Product\\\"", \\\""name\\\"": \\\""LG 1802037 TV\\\"", \\\""description\\\"": \\\""Get ready to experience a world of endless entertainment with the LG 1802037 TV. With its stunning 4K Ultra HD resolution and HDR technology, this TV brings your favorite shows and movies to life in incredible detail. Enjoy a wider range of colors and contrast with the advanced display technology, giving you a more immersive viewing experience than ever before. Plus, with built-in WiFi connectivity, streaming your favorite content has never been easier. And with LG's innovative webOS smart TV platform, you can access all of your favorite apps and services with just a few clicks. Whether you're watching a movie, playing games, or just browsing the internet, the LG 1802037 TV is sure to provide an unparalleled viewing experience. So why wait? Upgrade to the LG 1802037 TV today and start enjoying your entertainment in a whole new way.\\\"" }\""""}"
4804056,Headphone Apple 4804056,2.0,electronics,apple,headphone,617.79,"https://m.media-amazon.com/images/I/41wYbyr3LLL._AC_UF894,1000_QL80_.jpg","{""description"":""\""{\\n\\\""Headphones\\\"": {\\n\\\""Apple\\\"": \\\""Experience unparalleled sound quality and comfort with the Apple AirPods. These wireless earbuds feature a sleek, minimalist design that provides a snug fit for all-day wear. With up to 5 hours of battery life on a single charge, you can enjoy your music, podcasts, or audiobooks without interruption. Plus, with the included charging case, you'll get an additional 24 hours of playtime on the go. The AirPods are also equipped with Apple's proprietary W1 chip, which provides seamless connectivity and a quick pairing process for your Apple devices. And when you're done using them, they're easy to store in their included charging case. So why wait? Get your hands on the Apple AirPods today and experience the future of wireless audio.\\\""\\n}\\n}\""""}"
1004250,Smartphone Apple 1004250,4.0,electronics,apple,smartphone,224.55,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-og-image-202409_GEO_EMEA?wid=1200&hei=630&fmt=jpeg&qlt=95&.v=1727113715254,"{""description"":""\""{ \\\""@type\\\"": \\\""Product\\\"", \\\""name\\\"": \\\""Smartphone Apple 1004250\\\"", \\\""description\\\"": \\\""Upgrade your mobile experience with the latest Smartphone from Apple. With a powerful A14 Bionic chip, advanced camera system, and long-lasting battery life, this device is perfect for staying connected and productive on the go. Plus, with iOS 16, you'll have access to the latest features and security enhancements. Get ready to unlock your mobile potential with the Smartphone Apple 1004250.\\\"" }\""""}"
3700245,Vacuum Philips 3700245,1.9,appliances,philips,vacuum,625.19,https://images.unsplash.com/photo-1580287192846-ebb89d7e348e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2OTA4MDB8MHwxfHJhbmRvbXx8fHx8fHx8fDE3MzgzOTEyMDN8&ixlib=rb-4.0.3&q=80&w=1080,"{""description"":""\""{\\\""The vacuum cleaner Philips 3700245 is a powerful and efficient cleaning tool that can handle any mess with ease. With its advanced technology, it picks up dirt, dust, and debris with minimal effort, leaving your floors and carpets looking like new. Its lightweight and ergonomic design makes it easy to maneuver around furniture and tight spaces, allowing you to reach those hard-to-reach areas with ease. Whether you're dealing with pet hair, dust bunnies, or spills, this vacuum cleaner has got you covered. Its powerful suction is ideal for tackling tough messes and leaving your home clean and tidy. With its easy-to-use interface and versatile attachments, cleaning has never been simpler. So why wait? Get your Philips 3700245 today and start enjoying a cleaner, healthier home!\\\"":\\n\\n1.18\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\""""}"
1307076,Notebook Asus 1307076,3.8,computers,asus,notebook,75.49,https://dlcdnimgs.asus.com/websites/global/products/wlkrxb99BnPoC0Yz/img/00/00.png,"{""description"":""\""{ \\\""@type\\\"": \\\""Product\\\"", \\\""name\\\"": \\\""Notebook Asus 1307076\\\"", \\\""brand\\\"": { \\\""@type\\\"": \\\""Brand\\\"", \\\""name\\\"": \\\""Asus\\\"" }, \\\""modelNumber\\\"": \\\""1307076\\\"", \\\""skuId\\\"": \\\""12345\\\"", \\\""price\\\"": { \\\""@type\\\"": \\\""Price\\\"", \\\""amount\\\"": 599.99, \\\""currency\\\"": \\\""USD\\\"" }, \\\""condition\\\"": { \\\""@type\\\"": \\\""Condition\\\"", \\\""used\\\"": false, \\\""grade\\\"": \\\""Like New\\\"" }, \\\""features\\\"": [ { \\\""@type\\\"": \\\""Feature\\\"", \\\""name\\\"": \\\""13.3 inch Full HD Display\\\"", \\\""brand\\\"": { \\\""@type\\\"": \\\""Brand\\\"", \\\""name\\\"": \\\""Asus\\\"" }}, { \\\""@type\\\"": \\\""Feature\\\"", \\\""name\\\"": \\\""8th Gen Intel Core i5 Processor\\\"", \\\""brand\\\"": { \\\""@type\\\"": \\\""Brand\\\"", \\\""name\\\"": \\\""Intel\\\"" }}, { \\\""@type\\\"": \\\""Feature\\\"", \\\""name\\\"": \\\""8GB DDR4 RAM\\\"", \\\""brand\\\"": { \\\""@type\\\"": \\\""Brand\\\"", \\\""name\\\"": \\\""Corsair\\\"" }}, { \\\""@type\\\"": \\\""Feature\\\"", \\\""name\\\"": \\\""256GB SSD\\\"", \\\""brand\\\"": { \\\""@type\\\"": \\\""Brand\\\"", \\\""name\\\"": \\\""Samsung\\\"" }}, { \\\""@type\\\"": \\\""Feature\\\"", \\\""name\\\"": \\\""Windows 10 Home\\\"", \\\""brand\\\"": { \\\""@type\\\"": \\\""Brand\\\"", \\\""name\\\"": \\\""Microsoft\\\"" }}, { \\\""@type\\\"": \\\""Feature\\\"", \\\""name\\\"": \\\""Backlit Keyboard\\\"", \\\""brand\\\"": { \\\""@type\\\"": \\\""Brand\\\"", \\\""name\\\"": \\\""Asus\\\"" }}, { \\\""@type\\\"": \\\""Feature\\\"", \\\""name\\\"": \\\""Fingerprint Reader\\\"", \\\""brand\\\"": { \\\""@type\\\"": \\\""Brand\\\"", \\\""name\\\"": \\\""Asus\\\"" }}] }\\n\\n\\n\\n\\n\\n\\n\\n\\n\""""}"
5100721,Clocks Huawei 5100721,4.75,electronics,huawei,clocks,783.66,https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/plp-x/wearable/autumn-2024-wearable-launch/kv/watch-gt5-pro-kv.jpg,"{""description"":""\""{\\\""Clocks Huawei 5100721\\\"":\\n\\n\\\""Get ready to experience timekeeping like never before with the Clocks Huawei 5100721. This innovative device not only tells you the time but also synchronizes your schedule with the universe. With its built-in GPS and Bluetooth connectivity, this clock keeps you connected to the world while providing accurate timekeeping no matter where you are. The sleek and modern design of the Clocks Huawei 5100721 makes it a stylish addition to any home or office decor, and its long-lasting battery ensures that it always keeps ticking even when you're on the go. So why wait? Get your Clocks Huawei 5100721 today and start experiencing time in a whole new way!\\\""}\""""}"
100000165,Shoes Respect 100000165,2.1,apparel,respect,shoes,830.89,https://us.blochworld.com/cdn/shop/products/S0361_BLK.jpg?v=1583764209,"{""description"":""\""{\\\""Brand\\\"": \\\""Shoes Respect\\\"", \\\""Model\\\"": \\\""100000165\\\"", \\\""Color\\\"": \\\""Black\\\"", \\\""Material\\\"": \\\""Premium Leather\\\"", \\\""Style\\\"": \\\""Athletic\\\"", \\\""Size\\\"": \\\""Men's 9-10\\\"", \\\""Features\\\"": [\\\""Cushioning System\\\"", \\\""Breathable Mesh Panels\\\"", \\\""Slip-Resistant Outsole\\\""], \\\""Product Description\\\"": \\\""Looking for a shoe that can keep up with your active lifestyle? Look no further than the Shoes Respect 100000165. Made with premium leather and featuring a cushioning system, breathable mesh panels, and a slip-resistant outsole, this shoe is built for comfort and support. Whether you're hitting the gym or running errands around town, these shoes will keep your feet happy and healthy. And with their sleek athletic style, they're sure to turn heads wherever you go.\\\""}\""""}"
